Resumo;Chave do item;ID do item;ID principal;Tipo de Item;Situação;Chave do projeto;Nome do projeto;Tipo de projeto;Líder do projeto;Descrição do projeto;URL do projeto;Prioridade;Resolução;Responsável;Solicitante;Criador;Criado;Atualizado;Última visualização;Resolvido;Componente(s);Componente(s);Data para Ficar Pronto;Votos;Descrição;Ambiente;Acompanhadores;Acompanhadores;Acompanhadores;Tempo Estimado;Tempo Restante;Tempo Gasto;Razão Trabalhada;Σ da Estimativa Original;Σ da Estimativa Restante;Σ Tempo Gasto;Nível de Segurança;Anexos;Anexos;Campo personalizado (Ambiente de teste);Campo personalizado (CSV Link);Campo personalizado (Conclusão prevista para);Campo personalizado (Critério de Aceite);Campo personalizado (Duration [Gantt]);Campo personalizado (End Date [Gantt]);Campo personalizado (Epic Link);Campo personalizado (Equipe);Campo personalizado (Estimativa Genérica);Campo personalizado (Início alvo);Campo personalizado (Link para pai);Campo personalizado (Marcado);Campo personalizado (Notebook link);Campo personalizado (Perfis de acesso);Campo personalizado (Pontos da História);Campo personalizado (Pontos da história originais);Campo personalizado (Projeto);Campo personalizado (Rank);Sprint;Sprint;Sprint;Sprint;Campo personalizado (Start Date [Gantt]);Campo personalizado (Tela do figma);Comentário;Comentário;Comentário
[Backend] Criar endpoint para callback da IMOU;IZY-3498;31293;30708;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;paulo.lopes.013;leonandro.gurgel;leonandro.gurgel;05/12/24 15:06:24;16/12/24 08:37:19;06/01/25 14:56:12;16/12/24 08:37:19;;;;0;;;leonandro.gurgel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02zv8:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[FRONTEND] Adicionar botão de sincronizar na tela de todos os dispositivos;IZY-3497;31086;31004;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;uriel.lira;uriel.lira;uriel.lira;29/11/24 11:03:22;29/11/24 13:26:05;01/12/24 15:18:21;29/11/24 13:26:05;FRONT;;;0;;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02z50:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[DOC] Validar campo de nome do dispositivo;IZY-3496;31081;30710;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;aamedeiros;aamedeiros;aamedeiros;29/11/24 08:35:00;29/11/24 08:37:35;06/01/25 14:56:12;29/11/24 08:37:35;QA;;;0;;;aamedeiros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02z3w:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[DOC] Atualizar suíte no QAP  - Criar conta ;IZY-3495;31080;;Tarefa;Em Andamento;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;aamedeiros;aamedeiros;aamedeiros;29/11/24 08:09:22;27/12/24 13:55:59;18/12/24 14:30:41;;QA;;;0;;;aamedeiros;;;;;;;;;;;;;;;;;;;;;;;;Impedimento;;;3.0;;;"0|i02xnh:r";Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;"27/12/24 13:55:59;aamedeiros;(flag) Marcação adicionada

Pausada devido a Atuação em outras prioridades.;;;";;
Mover dispositivo entre locais em um empreendimento;IZY-3494;31073;;História;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;28/11/24 14:47:46;12/12/24 13:46:53;12/12/24 10:16:27;;;;;0;;;eliezio.soares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02wsc:y";Backlog 2024;;;;;;;;
[FRONT] Nome do dispositivo extrapola limites do card;IZY-3493;31067;;Problema;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;aamedeiros;aamedeiros;28/11/24 12:39:08;28/11/24 12:44:50;06/01/25 14:56:12;;;;;0;"Cenário:
 * Estar na tela de todos os dispositivos
 * Clicar em um dispositivo
 * Editar o nome inserindo um nome grande (50 caracteres)
 * Salvar edição

Após isso, o nome do dispositivo passa do limite do card (no qual ele faz parte) continuando na tela conforme mostrado  na imagem abaixo:

!editar nome.png|thumbnail!";;aamedeiros;;;;;;;;;;;"28/11/24 12:42:57;aamedeiros;editar nome.png;https://jira.smartretail.ufrn.br/jira/secure/attachment/22438/editar+nome.png";;;;;;;;;;;;;;;;;;;"0|i02wsd:";Backlog 2024;;;;;;;;
[TE] Sincronizar dispositivos da IMOU;IZY-3492;31027;31004;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;aamedeiros;aamedeiros;26/11/24 13:38:36;26/11/24 13:38:36;06/01/25 14:56:12;;QA;;;0;;;aamedeiros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02yt0:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[TF] Remover dispositivo IMOU;IZY-3491;31026;30709;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;aamedeiros;aamedeiros;26/11/24 13:36:56;26/11/24 13:36:56;06/01/25 14:56:12;;QA;;;0;;;aamedeiros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02yss:";Izy - Cycle 24.1 Sprint 1;Backlog 2024;;;;;;;
[DOC] Remover dispositivo IMOU;IZY-3490;31025;30709;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;aamedeiros;aamedeiros;26/11/24 13:36:35;26/11/24 13:36:35;06/01/25 14:56:12;;QA;;;0;;;aamedeiros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02ysk:";Izy - Cycle 24.1 Sprint 1;Backlog 2024;;;;;;;
[TF] Aplicar configuração no dispositivo MIS-1003;IZY-3489;31024;30711;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;aamedeiros;aamedeiros;26/11/24 13:35:35;26/11/24 13:35:35;06/01/25 14:56:12;;QA;;;0;;;aamedeiros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02ysc:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 4;;;;;;;
[DOC] Aplicar configuração no dispositivo MIS-1003;IZY-3488;31023;30711;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;aamedeiros;aamedeiros;26/11/24 13:34:40;26/11/24 13:34:40;06/01/25 14:56:12;;QA;;;0;;;aamedeiros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02ys4:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 4;;;;;;;
[TE] Vincular conta mibo;IZY-3487;31022;30708;Sub-tarefa-padrão;Em Andamento;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;aamedeiros;aamedeiros;aamedeiros;26/11/24 13:30:58;27/12/24 16:35:58;06/01/25 14:56:12;;QA;;;0;;;aamedeiros;;;;;;;;;;;"27/12/24 08:33:04;aamedeiros;Gravar_2024_12_27_07_39_17_985.mp4;https://jira.smartretail.ufrn.br/jira/secure/attachment/22821/Gravar_2024_12_27_07_39_17_985.mp4";;;;;;;;;;;;;Impedimento;;;;;;"0|i02yrw:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;"27/12/24 08:32:48;aamedeiros;*Teste: {color:#ff0000}NOK{color}*
*Versão:* dev-3.0.0

Ao clicar para vincular conta, o usuário é redirecionado para tela de empreendimentos, conforme mostrado no vídeo abaixo.

[^Gravar_2024_12_27_07_39_17_985.mp4];;;";"27/12/24 08:39:23;aamedeiros;(flag) Marcação adicionada

A espera de IZY-3524

A espera de IZY-3525 ;;;";"27/12/24 16:35:58;aamedeiros;(flag) Marcação adicionada

A espera de IZY-3527;;;"
[Frontend] Realizar integração do modal com o back;IZY-3486;31021;30708;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;uriel.lira;uriel.lira;uriel.lira;26/11/24 10:54:26;29/11/24 17:43:44;06/01/25 14:56:12;29/11/24 17:43:44;FRONT;;;0;;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02yro:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[Frontend] Criar modal de vinculo com conta Mibo;IZY-3485;31020;30708;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;uriel.lira;uriel.lira;uriel.lira;26/11/24 10:52:57;28/11/24 13:21:26;06/01/25 14:56:12;28/11/24 13:21:26;FRONT;;;0;Modal deverá ter os campos de email e senha;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02yrg:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[Frontend] Adicionar botão no menu do usuário para vincular conta Mibo;IZY-3484;31019;30708;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;uriel.lira;uriel.lira;uriel.lira;26/11/24 10:52:01;28/11/24 14:10:36;06/01/25 14:56:12;28/11/24 14:10:36;FRONT;;;0;"Ao clicar no botão, deverá abrir o modal para vincular com conta mibo";;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02yr8:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[FRONT] Redirecionar usuário logado quando ele acessar o sistema via URL;IZY-3483;31009;;Tarefa;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;aamedeiros;aamedeiros;25/11/24 13:43:36;25/11/24 14:02:27;06/01/25 14:56:12;;;;;0;"Quando o usuário está logado no sistema e abre outra guia, ao acessar a URL de login (que é a mais comum de estar salva no navegador) é mostrado a página de login novamente para o usuário se autenticar ao invés da tela de empreendimentos. Tal problema é mostrado no vídeo abaixo.

[^Gravar_2024_11_25_13_05_15_389.mp4]";;aamedeiros;;;;;;;;;;;"25/11/24 13:46:22;aamedeiros;Gravar_2024_11_25_13_05_15_389.mp4;https://jira.smartretail.ufrn.br/jira/secure/attachment/22404/Gravar_2024_11_25_13_05_15_389.mp4";;;;;;;;;;;;;;;;;;;"0|i02wse:";Backlog 2024;;;;;;;;
Sincronizar dispositivos Mibo Smart;IZY-3482;31004;;História;Needs Test;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;uriel.lira;paulo.lopes.013;paulo.lopes.013;25/11/24 08:26:30;27/12/24 16:37:02;25/11/24 10:31:21;;;;;0;"*Como* administrador ou operador
*Quero* sicronizar meus dispositivos MIBO na plataforma
*Para* visualizá-los na plataforma e ver suas propriedades.

 

Esta atividade permite que o usuário sincronize os dispositivos adicionados em sua conta Mibo Smart com a plataforma IzyManager. Ao realizar a sincronização, os dispositivos Mibo cadastrados na conta Mibo Smart poderão ser gerenciados diretamente pela plataforma Izy.

A estrutura organizacional é independente, então o usuário será responsável por decidir onde os dispositivos sincronizados estão localizados independente de como se dispõe para a Mibo Smart.

 

Critérios de Aceitação:
 * Ao clicar no botão sincronizar o sistema deve buscar os dispositivos existentes na conta do usuário e exibi-los na tela do Manager.

 

!image-2024-11-25-10-30-56-997.png|width=555,height=230!";;aamedeiros;paulo.lopes.013;;;;;;;;;;"25/11/24 10:30:57;eliezio.soares;image-2024-11-25-10-30-56-997.png;https://jira.smartretail.ufrn.br/jira/secure/attachment/22401/image-2024-11-25-10-30-56-997.png";;;;;;;;;;;;;Impedimento;;;10.0;;;"0|i02xn8:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;"27/12/24 08:44:57;aamedeiros;(flag) Marcação adicionada

A espera de IZY-3416;;;";"27/12/24 16:37:02;aamedeiros;(flag) Marcação adicionada

A espera de IZY-3416;;;";
[DOC] Editar dispositivo Imou;IZY-3480;30892;30710;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;aamedeiros;aamedeiros;22/11/24 08:01:12;27/12/24 10:56:49;06/01/25 14:56:12;;QA;;;0;;;aamedeiros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02yik:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[TF] Editar dispositivo que fica offline logo antes de de salvar o nome;IZY-3479;30867;30710;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;aamedeiros;aamedeiros;19/11/24 13:54:42;27/12/24 10:56:33;06/01/25 14:56:12;;QA;;;0;;;aamedeiros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02yd0:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[TF] Editar dispositivo offline;IZY-3478;30866;30710;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;aamedeiros;aamedeiros;19/11/24 13:53:46;27/12/24 10:57:03;06/01/25 14:56:12;;QA;;;0;;;aamedeiros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02ycs:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[TF] Editar dispositivo Imou;IZY-3477;30865;30710;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;aamedeiros;aamedeiros;aamedeiros;19/11/24 13:53:12;27/12/24 10:58:26;06/01/25 14:56:12;;QA;;;0;;;aamedeiros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02yck:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[DOC] Editar dispositivo que fica offline logo antes de de salvar o nome;IZY-3476;30864;30710;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;aamedeiros;aamedeiros;aamedeiros;19/11/24 13:50:15;27/12/24 10:57:44;06/01/25 14:56:12;04/12/24 09:07:50;QA;;;0;"Quando acessa a tela de edição (estando o dispositivo online), altera-se o nome e clica em salvar, não deve ser possível finalizar a ação e o usuário deve receber um toast de erro pois a ação não pode ser concretizada na nuvem.";;aamedeiros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02ycc:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[DOC] Editar dispositivo offline;IZY-3475;30863;30710;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;aamedeiros;aamedeiros;aamedeiros;19/11/24 13:47:35;27/12/24 10:57:31;06/01/25 14:56:12;04/12/24 10:31:19;QA;;;0;"Quando o dispositivo está offline, a edição do nome deve ser bloqueado.";;aamedeiros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02yc4:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[DOC] Alterar documentação de editar dispositivo Tuya;IZY-3474;30862;30710;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;aamedeiros;aamedeiros;aamedeiros;19/11/24 13:46:35;27/12/24 10:57:19;06/01/25 14:56:12;29/11/24 09:09:56;QA;;;0;;;aamedeiros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02ybw:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[TE] Criar novo usuário no empreendimento (tela de usuários);IZY-3473;30861;30659;Sub-tarefa-bug;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;aamedeiros;aamedeiros;19/11/24 13:37:29;19/11/24 13:37:29;06/01/25 14:56:12;;QA;;;0;;;aamedeiros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02ybo:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[TE] Cadastrar novo usuário (tela de login);IZY-3472;30860;30659;Sub-tarefa-bug;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;aamedeiros;aamedeiros;19/11/24 13:36:24;19/11/24 13:36:24;06/01/25 14:56:12;;QA;;;0;;;aamedeiros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02ybg:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[FRONT] Não é possível cadastrar usuário;IZY-3471;30859;30659;Sub-tarefa-bug;Em Andamento;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;uriel.lira;aamedeiros;aamedeiros;19/11/24 13:34:42;28/11/24 11:42:56;06/01/25 14:56:12;;FRONT;;;0;"*[Descrição]*

Não está sendo possível criar uma conta nova de usuário devido a um problema no endpoint para validar email do usuário.

 

*[Objetivo]*

Remover a chamada de validação de email no front para tentar criar um novo usuário";;aamedeiros;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02yb8:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;"28/11/24 11:42:56;uriel.lira;Não é possível apenas remover o endpoint de validar email. Foi verificado que é necessário o código de validação para criar um usuário pois o mesmo é criado diretamente na tuya. Ao remover o endpoint, o sistema apenas não faz mais nada.

Verificar o que deverá ser feito;;;";;
Mapear riscos sobre loadbalancer;IZY-3470;30856;;Tarefa;Em Andamento;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;paulo.vanzo;paulo.vanzo;paulo.vanzo;19/11/24 11:41:24;11/12/24 19:01:36;06/01/25 14:56:12;;DEVOPS;;;0;"!image-2024-11-19-11-29-03-953.png!

O loadbalancer de produção está quebrado, aparentemente a versão está incompatível com o EKS, é preciso verificar o problema e os possíveis riscos";;paulo.vanzo;;;;;;;;;;;"19/11/24 11:29:04;paulo.vanzo;image-2024-11-19-11-29-03-953.png;https://jira.smartretail.ufrn.br/jira/secure/attachment/22304/image-2024-11-19-11-29-03-953.png";;;;;;;;;;;;;;;;;;;"0|i00jk8:mi0y0002hkfa8zt";;;;;;;"22/11/24 18:16:50;paulo.vanzo;Consegui reverter o problema do LoadBalancer de Dev, vou agora instalar via helm para que problemas de gerenciamento de versões não venha a acontecer tanto.

Aí já aproveito e valido se o LoadBalancer será recriado na execução do processo, mapeando possíveis riscos.;;;";"03/12/24 14:10:28;paulo.vanzo;Para o LoadBalancer funcionar precisa estar na versão 2.7.2, para subir para a 2.10.0 é preciso atualizar o EKS. O Helm para instalar os CRDs precisa ser executado com o helm install e os CRDs desinstalados antes.

É possível que haja indisponibilidade entre a deleção dos CRDs até a instalação do chart.;;;";
[FrontEnd] Receber status do dispositivo IMOU pelo EventSource e atualizar dispositivo;IZY-3469;30852;30711;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;uriel.lira;uriel.lira;19/11/24 09:54:25;19/11/24 09:54:25;06/01/25 14:56:12;;;;;0;;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02y9o:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 4;;;;;;;
[FrontEnd] Enviar comandos de dispositivos IMOU pela icone do dispositivo na aba de Dispositivos na tela de dashboard;IZY-3468;30851;30711;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;uriel.lira;uriel.lira;19/11/24 09:53:47;19/11/24 09:53:47;06/01/25 14:56:12;;;;;0;;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02y9g:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 4;;;;;;;
[FrontEnd] Enviar comandos de dispositivos IMOU pela icone do dispositivo na tela de dashboard;IZY-3467;30850;30711;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;uriel.lira;uriel.lira;19/11/24 09:53:34;19/11/24 09:53:34;06/01/25 14:56:12;;;;;0;;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02y98:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 4;;;;;;;
[FrontEnd] Enviar comandos de dispositivos IMOU pela icone do dispositivo na tela de todos os dispositivos;IZY-3466;30849;30711;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;uriel.lira;uriel.lira;19/11/24 09:53:25;19/11/24 09:53:25;06/01/25 14:56:12;;;;;0;;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02y90:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 4;;;;;;;
[FrontEnd] Enviar comandos de dispositivos IMOU pela tela generica de dispositivos;IZY-3465;30848;30711;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;uriel.lira;uriel.lira;19/11/24 09:52:42;19/11/24 09:52:42;06/01/25 14:56:12;;;;;0;;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02y8s:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 4;;;;;;;
[FrontEnd] Remover dispositivo IMOU pela tela de todos os dispositivos;IZY-3464;30847;30709;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;uriel.lira;uriel.lira;19/11/24 09:50:41;19/11/24 09:50:41;06/01/25 14:56:12;;;;;0;;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02y8k:";Izy - Cycle 24.1 Sprint 1;Backlog 2024;;;;;;;
[FrontEnd] Permitiro realocar dispositivos IMOU pela aba de dispositivos na tela de dashboard;IZY-3463;30846;31073;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;uriel.lira;uriel.lira;19/11/24 09:47:55;03/12/24 18:17:33;06/01/25 14:56:12;;;;;0;;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02y8c:";Backlog 2024;;;;;;;;
[FrontEnd] Permitir realocar dispositivos IMOU pela tela Todos os Dispositivos;IZY-3462;30845;31073;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;uriel.lira;uriel.lira;19/11/24 09:47:31;28/11/24 15:02:33;06/01/25 14:56:12;;;;;0;;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02y84:";Backlog 2024;;;;;;;;
[FrontEnd] Mostrar dispositivos IMOU na aba de dispositivos da Dashboard;IZY-3461;30844;30711;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;uriel.lira;uriel.lira;19/11/24 09:46:50;29/11/24 11:04:42;06/01/25 14:56:12;;;;;0;;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02y7w:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 4;;;;;;;
[FrontEnd] Criar tela de configurações para dispositivos IMOU;IZY-3460;30840;30710;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;uriel.lira;uriel.lira;uriel.lira;19/11/24 09:41:12;11/12/24 12:45:23;06/01/25 14:56:12;11/12/24 12:45:23;;;;0;;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02y70:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[FrontEnd] Mostrar dispositivo IMOU na tela de dashboard;IZY-3459;30835;30711;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;uriel.lira;uriel.lira;19/11/24 09:38:18;29/11/24 11:04:52;06/01/25 14:56:12;;;;;0;;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02y5w:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 4;;;;;;;
[FrontEnd] Mostrar dispositivo IMOU na tela de todos os dispositivos;IZY-3458;30834;31004;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;uriel.lira;uriel.lira;uriel.lira;19/11/24 09:38:08;18/12/24 12:56:42;06/01/25 14:56:12;18/12/24 12:56:42;FRONT;;;0;;;uriel.lira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02y5o:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[Devops] Validar Gitflow e Estruturar GitSemantics;IZY-3457;30832;;Tarefa;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;paulo.lopes.013;paulo.lopes.013;paulo.lopes.013;19/11/24 08:51:49;27/12/24 14:09:09;19/11/24 11:24:49;20/12/24 13:40:34;;;;0;"*[https://www.notion.so/Padr-es-de-Git-no-Izy-Manager-b4f4da98755a492bb5c44c65a563410f]*

 ";;paulo.lopes.013;paulo.vanzo;;;;;;;;;;;;;;;;;;;;;;;;;;8.0;;;"0|i02xmn:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;"05/12/24 14:26:11;paulo.vanzo;Esperando desbloqueio do acesso Git, a priori o regex e as alterações da pipeline já estão prontas para receber o fluxo novo.;;;";;
[Devops] Prover ambiente de Testes;IZY-3456;30831;;Tarefa;Em Andamento;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;paulo.vanzo;paulo.lopes.013;paulo.lopes.013;19/11/24 08:49:48;16/12/24 08:51:51;03/12/24 11:06:38;;;;;0;"Disponibilizar ambiente de testes funcional para utilização do time.

Erro no backend em anexo:";;paulo.lopes.013;;;;;;;;;;;"05/12/24 14:27:05;paulo.vanzo;image-2024-12-05-14-25-08-291.png;https://jira.smartretail.ufrn.br/jira/secure/attachment/22546/image-2024-12-05-14-25-08-291.png";;;;;;;;;;;;;;;;5.0;;;"0|i02xmo:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[DEPRECATED][FrontEnd] Validar com Mibo Smart o processo de autenticação da subaccount do usuário Izy Manager para IMOU;IZY-3455;30830;;Tarefa;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;;paulo.lopes.013;paulo.lopes.013;19/11/24 08:47:40;29/11/24 11:34:27;06/01/25 14:56:12;29/11/24 11:33:51;;;;0;;;paulo.lopes.013;;;;;;;;;;;;;;;;;;;IZY-3410;;;;;;;;;;;"0|i02y4s:";;;;;;;;;
