Resumo;Chave do item;ID do item;ID principal;Tipo de Item;Situação;Chave do projeto;Nome do projeto;Tipo de projeto;Líder do projeto;Descrição do projeto;URL do projeto;Prioridade;Resolução;Responsável;Solicitante;Criador;Criado;Atualizado;Última visualização;Resolvido;Componente(s);Componente(s);Data para Ficar Pronto;Votos;Descrição;Ambiente;Acompanhadores;Acompanhadores;Acompanhadores;Tempo Estimado;Tempo Restante;Tempo Gasto;Razão Trabalhada;Σ da Estimativa Original;Σ da Estimativa Restante;Σ Tempo Gasto;Nível de Segurança;Anexos;Anexos;Campo personalizado (Ambiente de teste);Campo personalizado (CSV Link);Campo personalizado (Conclusão prevista para);Campo personalizado (Critério de Aceite);Campo personalizado (Duration [Gantt]);Campo personalizado (End Date [Gantt]);Campo personalizado (Epic Link);Campo personalizado (Equipe);Campo personalizado (Estimativa Genérica);Campo personalizado (Início alvo);Campo personalizado (Link para pai);Campo personalizado (Marcado);Campo personalizado (Notebook link);Campo personalizado (Perfis de acesso);Campo personalizado (Pontos da História);Campo personalizado (Pontos da história originais);Campo personalizado (Projeto);Campo personalizado (Rank);Sprint;Sprint;Sprint;Sprint;Campo personalizado (Start Date [Gantt]);Campo personalizado (Tela do figma);Comentário;Comentário;Comentário
[FrontEnd] Criar suporte para  Funcionalidade e realizar Ajustes necessários;IZY-3453;30828;30709;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;paulo.lopes.013;paulo.lopes.013;19/11/24 08:45:39;19/11/24 08:45:39;06/01/25 14:56:12;;;;;0;;;paulo.lopes.013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02y4c:";Izy - Cycle 24.1 Sprint 1;Backlog 2024;;;;;;;
[BackEnd] Desvincular dispositivo do Izy Manager;IZY-3452;30827;30709;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;paulo.lopes.013;paulo.lopes.013;19/11/24 08:44:18;19/11/24 08:44:18;06/01/25 14:56:12;;;;;0;"*Pontos a confirmar:*
 * *Desvincular um dispositivo apenas da subaccount do usuário ou da account do admin?* (Desvinculando do admin o usuário não verá mais o dispositivo em outros aplicativos que utilizem a mesma conta).";;paulo.lopes.013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02y44:";Izy - Cycle 24.1 Sprint 1;Backlog 2024;;;;;;;
[FrontEnd] Validar reaproveitamento da Tela de dispositivo Genérico.;IZY-3451;30826;30711;Sub-tarefa-padrão;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;paulo.lopes.013;paulo.lopes.013;19/11/24 08:40:10;28/11/24 09:58:02;06/01/25 14:56:12;;;;;0;"h4. *Objetivo*

Analisar se a tela de dispositivo genérico já existente para TUYA pode ser reutilizada para dispositivos IMOU.";;paulo.lopes.013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02y3w:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 4;;;;;;;
Discovery de dispositivos IMOU já vinculados à uma sub account de usuário.;IZY-3450;30825;;Tarefa;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;paulo.lopes.013;paulo.lopes.013;19/11/24 08:36:05;19/11/24 08:36:32;06/01/25 14:56:12;;;;;0;;;paulo.lopes.013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02xni:";Backlog 2024;;;;;;;;
[BackEnd] Viabilizar o fluxo de autenticação e registro de contas Mibo;IZY-3445;30820;30708;Sub-tarefa-padrão;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;leonandro.gurgel;paulo.lopes.013;paulo.lopes.013;19/11/24 08:14:29;04/12/24 14:57:20;06/01/25 14:56:12;04/12/24 14:57:20;;;;0;"h4. *Objetivo*

Permitir que usuário tenha sua conta Mibo criada ou vinculada a uma conta existente no Izy Manager.";;paulo.lopes.013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02y2s:";Izy - Cycle 24.1 Sprint 1;Izy - Cycle 24.1 Sprint 2;Izy - Cycle 24.1 Sprint 3;;;;;;
[QA] Atualizar suite de testes - Login;IZY-3444;30802;;Tarefa;Concluída;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;Concluída;aamedeiros;eliezio.soares;eliezio.soares;18/11/24 10:32:47;26/11/24 13:44:31;19/11/24 11:24:18;26/11/24 13:44:31;QA;;;0;"É necessário ajustar documentações para padronizá-las, bem como aprovar e publicar todas as documentações da suíte além de criar a suíte no QAP no espaço de suítes de testes do projeto Smarter.";;eliezio.soares;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;;;"0|i02xys:";Izy - Cycle 24.1 Sprint 1;;;;;;;;
Erro ao criar novos usuários ao empreendimento;IZY-3443;30735;;Problema;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 21:14:05;13/11/24 21:14:05;06/01/25 14:56:12;;;;;0;;;eliezio.soares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02xt8:";Backlog 2024;;;;;;;;
Espaços Criados Dentro de um Empreendimento Desaparecem Após Criação;IZY-3442;30734;;Problema;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 21:13:49;13/11/24 21:13:49;13/11/24 21:13:49;;;;;0;;;eliezio.soares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02xt0:";Backlog 2024;;;;;;;;
Link para os Termos de Uso Ausente na Página de Criação de Conta;IZY-3441;30733;;Problema;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 21:11:54;13/11/24 21:12:40;13/11/24 21:12:40;;FRONT;;;0;"Na página de criação de conta do Izy Manager, não há um link para os Termos de Uso da plataforma. Esse problema impede que o usuário leia e revise os Termos de Uso antes de aceitar, o que pode gerar problemas de conformidade e falta de transparência.

 

!image (5).png!";;eliezio.soares;;;;;;;;;;;"13/11/24 21:12:36;eliezio.soares;image (5).png;https://jira.smartretail.ufrn.br/jira/secure/attachment/22231/image+%285%29.png";;;;;;;;;;;;;;;;;;;"0|i02xss:";Backlog 2024;;;;;;;;
QR Code da Página de Recuperação de Senha Não Direciona ao Download do App;IZY-3440;30732;;Problema;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 21:11:07;13/11/24 21:11:07;13/11/24 21:11:07;;FRONT;;;0;"O QR code exibido na página de recuperação de senha para download do aplicativo não está funcionando. Devido à expiração do plano de atualização anual da Tuya, o QR code não direciona os usuários para as lojas de aplicativos (Android e iOS) e não permite o download direto do app.";;eliezio.soares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02xsk:";Backlog 2024;;;;;;;;
"Exibir Status ""Offline"" para Dispositivos na Automação";IZY-3439;30731;;História;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 21:09:53;13/11/24 21:09:53;13/11/24 21:09:53;;BACK;FRONT;;0;"*Como* usuário Izy Manager
*Quero* ser notificado quando um dos dispositivos em uma automação estiver offline
*Para* poder identificar rapidamente problemas de conectividade e resolver falhas que possam afetar as automações configuradas
h4. Critérios de Aceitação:
 # {*}Exibição de Status Offline na Interface de Automação{*}:

 ** O sistema deve indicar claramente na interface de automação quando um dispositivo estiver offline, exibindo um ícone, texto ou etiqueta ""Offline"" ao lado do dispositivo.
 ** O status ""Offline"" deve ser atualizado em tempo real ou de acordo com a frequência de verificação da conectividade.";;eliezio.soares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02xsc:";Backlog 2024;;;;;;;;
Implementar tradução para os comandos da automação;IZY-3438;30730;;História;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 21:08:12;13/11/24 21:12:25;13/11/24 21:12:25;;FRONT;;;0;"*Como* usuário Izy Manager
*Quero* visualizar os comandos e status das automações em português
*Para* facilitar a compreensão das mensagens e interações com a interface, sem a necessidade de interpretar termos em inglês

 

!image (4).png|width=376,height=147!";;eliezio.soares;;;;;;;;;;;"13/11/24 21:12:18;eliezio.soares;image (4).png;https://jira.smartretail.ufrn.br/jira/secure/attachment/22230/image+%284%29.png";;;;;;;;;;;;;;;;;;;"0|i02xs4:";Backlog 2024;;;;;;;;
Implementar a Opção de Dark Mode (Modo Escuro);IZY-3437;30729;;História;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 21:05:45;13/11/24 21:05:45;13/11/24 21:05:45;;;;;0;"*Como* usuário do Izy Manager
*Quero* ter a opção de habilitar o modo escuro na interface do sistema
*Para* melhorar o conforto visual em ambientes com pouca luz e reduzir o cansaço ocular durante o uso prolongado
h4. Critérios de Aceitação:
 * O sistema deve permitir que o usuário alterne facilmente entre o modo claro e o modo escuro nas configurações de aparência.
 * A mudança deve ser instantânea, com a interface visualmente adaptada para o modo selecionado.
 * O sistema deve armazenar a preferência de modo (claro ou escuro) para que seja automaticamente aplicada ao acessar a plataforma em sessões futuras.
 * A preferência deve ser salva de forma independente para cada usuário.";;eliezio.soares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02xrw:";Backlog 2024;;;;;;;;
[FRONT] Campo com a informação incompleta no campo de pesquisa;IZY-3436;30728;;Problema;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 21:02:56;13/11/24 21:03:37;13/11/24 21:03:37;;FRONT;;;0;"!image (3).png|width=615,height=85!";;eliezio.soares;;;;;;;;;;;"13/11/24 21:03:34;eliezio.soares;image (3).png;https://jira.smartretail.ufrn.br/jira/secure/attachment/22229/image+%283%29.png";;;;;;;;;;;;;;;;;;;"0|i02xro:";Backlog 2024;;;;;;;;
[FRONT] Ajustar nome da plataforma na seleção do empreendimento;IZY-3435;30727;;Problema;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 21:02:19;13/11/24 21:03:24;13/11/24 21:03:24;;;;;0;"!image (2).png|width=406,height=116!";;eliezio.soares;;;;;;;;;;;"13/11/24 21:03:18;eliezio.soares;image (2).png;https://jira.smartretail.ufrn.br/jira/secure/attachment/22228/image+%282%29.png";;;;;;;;;;;;;;;;;;;"0|i02xrg:";Backlog 2024;;;;;;;;
Recuperar Acesso ao Empreendimento em Caso de E-mail Inacessível;IZY-3434;30726;;História;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 21:01:31;13/11/24 21:01:31;13/11/24 21:01:31;;;;;0;"*Como* usuário Izy Manager
*Quero* dispor de uma forma alternativa para recuperar o acesso ao empreendimento caso o e-mail cadastrado esteja inacessível
*Para* garantir a continuidade da administração e acesso ao sistema mesmo em situações de perda de acesso ao e-mail principal";;eliezio.soares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02xr8:";Backlog 2024;;;;;;;;
Aprimorar a validação do e-mail na criação de um empreendimento.;IZY-3433;30725;;Tarefa;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 20:54:11;13/11/24 20:54:11;13/11/24 20:54:12;;;;;0;"Fortalecer a validação do campo de e-mail no formulário de criação de empreendimentos, garantindo que apenas endereços válidos e no formato correto sejam aceitos.";;eliezio.soares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02xr0:";Backlog 2024;;;;;;;;
"Na criação de um novo empreendimento, validar o campo CPF e CNPJ";IZY-3432;30724;;História;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 20:53:11;13/11/24 20:53:11;06/01/25 14:56:12;;;;;0;"O sistema deve validar automaticamente os campos de CPF e CNPJ ao criar um novo empreendimento para garantir que os dados fornecidos sejam válidos e estejam no formato correto, evitando erros e inconsistências.";;eliezio.soares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02xqs:";Backlog 2024;;;;;;;;
Atualizar os termos de uso do sistema;IZY-3431;30723;;Tarefa;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 20:49:57;13/11/24 20:49:57;06/01/25 14:56:12;;;;;0;"Revisar e atualizar os Termos de Uso do sistema para refletir as políticas mais recentes, novas funcionalidades, requisitos de conformidade e garantir a clareza e transparência para os usuários.";;eliezio.soares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02xqk:";Backlog 2024;;;;;;;;
[DevOps] Atualizar os Componentes de Infraestrutura do Sistema;IZY-3430;30722;;Tarefa;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 20:45:12;13/11/24 20:47:03;06/01/25 14:56:12;;BACK;FRONT;;0;"{*}Objetivo{*}:
Realizar a atualização dos componentes críticos de infraestrutura, incluindo o Kubernetes, para garantir a segurança, desempenho e compatibilidade do sistema com versões mais recentes.
h4. Critérios de Aceitação:
 # {*}Planejamento da Atualização{*}:

 ** Verificar a versão atual dos componentes (ex.: Kubernetes, Docker, etc.) e identificar a versão mais recente e estável para atualização.
 ** Documentar os pré-requisitos e as etapas de atualização para cada componente no Notion, incluindo possíveis dependências e impactos na infraestrutura.
 # {*}Realização da Atualização do Kubernetes{*}:

 ** Atualizar o Kubernetes para a versão recomendada, garantindo a compatibilidade com os demais serviços e configurações do sistema.
 ** Verificar a configuração de todos os pods, namespaces e serviços para assegurar que funcionem corretamente na nova versão.
 # {*}Testes de Validação Pós-Atualização{*}:

 ** Realizar testes de validação após a atualização, incluindo:
 *** Verificação do funcionamento dos serviços e pods no Kubernetes.
 ** Monitorar logs e métricas para detectar qualquer anomalia ou degradação de desempenho após a atualização.
 # {*}Plano de Contingência{*}:

 ** Preparar um plano de rollback caso ocorram problemas críticos durante a atualização, documentando as etapas necessárias para retornar à versão anterior com segurança.";;eliezio.soares;;;;;;;;;;;;;;;;;;;IZY-193;;;;;;;;;;;"0|i02xnw:";Backlog 2024;;;;;;;;
Possibilidade de Criar Alertas Críticos no Sistema;IZY-3429;30721;;História;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 20:39:58;13/11/24 20:45:38;06/01/25 14:56:12;;BACK;FRONT;;0;"*Como* usuário Izy Manager
*Quero* configurar alertas críticos para eventos específicos no sistema
*Para* ser imediatamente notificado sobre situações de emergência, como ativação de dispositivos de segurança ou detecção de fumaça
h4. Critérios de Aceitação:
 # {*}Configuração de Tipos de Alerta Crítico{*}:

 ** O sistema deve permitir ao usuário configurar alertas para eventos críticos, como:
 *** Ativação de dispositivos de segurança (ex.: alarme disparado).
 *** Detecção de fumaça ou presença de gases perigosos.
 *** Entrada ou saída não autorizada de pessoas em áreas restritas.";;eliezio.soares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02xqc:";Backlog 2024;;;;;;;;
Adicionar ações relacionadas ao empreendimento nas notificações;IZY-3428;30720;;História;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 20:36:17;13/11/24 20:45:44;06/01/25 14:56:12;;BACK;FRONT;;0;"*Como* usuário Izy Manager
*Quero* receber notificações sobre ações importantes relacionadas ao empreendimento
*Para* estar sempre atualizado sobre adições ou remoções de usuários, criação de espaços e mudanças nos dispositivos
h4. Critérios de Aceitação:
 # {*}Notificação de Adição/Remoção de Usuários{*}:

 ** O sistema deve enviar uma notificação ao administrador quando um novo usuário for adicionado ou removido do empreendimento.
 ** A notificação deve incluir informações relevantes, como o nome e o papel do usuário adicionado ou removido.
 # {*}Notificação de Criação de Novos Espaços e Locais{*}:

 ** Sempre que um novo espaço ou local for criado dentro do empreendimento, o sistema deve notificar o administrador.
 ** A notificação deve especificar o nome e a localização do novo espaço ou local para facilitar o acompanhamento.
 # {*}Notificação de Adição/Remoção de Dispositivos{*}:

 ** O sistema deve enviar notificações quando dispositivos forem adicionados ou removidos do empreendimento.
 ** A notificação deve incluir o tipo, nome e localização do dispositivo para rápida identificação.
 # {*}Configuração de Preferências de Notificação{*}:

 ** Deve ser possível configurar as preferências de notificação para cada tipo de ação (ex.: optar por receber apenas notificações sobre dispositivos ou usuários).
 ** O sistema deve permitir o ajuste das preferências diretamente na interface de configurações de notificações.";;eliezio.soares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02xq4:";Backlog 2024;;;;;;;;
Alterar avatar do usuário;IZY-3427;30719;;História;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 20:32:34;13/11/24 20:45:54;06/01/25 14:56:12;;BACK;FRONT;;0;"*Como* usuário Izy Manager
*Quero* ter a opção de alterar meu avatar na plataforma
*Para* personalizar minha conta e facilitar minha identificação visual no sistema
h4. Critérios de Aceitação:
 # {*}Upload de Imagem{*}:

 ** O usuário deve poder fazer upload de uma imagem a partir de seu dispositivo para definir como avatar.
 ** A imagem deve ser redimensionada automaticamente para se ajustar ao formato de avatar, mantendo uma qualidade visual adequada.
 # {*}Escolha de Avatares Padrão{*}:

 ** Além do upload, o sistema deve oferecer uma seleção de avatares padrão para o usuário escolher, caso não queira fazer o upload de uma imagem própria.
 # {*}Mensagens de Sucesso e Erro{*}:

 ** Ao concluir o processo, o sistema deve exibir uma mensagem de confirmação informando que o avatar foi alterado com sucesso.
 ** Em caso de erro (ex.: tamanho de arquivo excedido, formato inválido), o sistema deve notificar o usuário e fornecer orientações para corrigir o problema.";;eliezio.soares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02xpw:";Backlog 2024;;;;;;;;
Possibilidade de ativar separadamente as teclas dos dispositivos contendo mais de uma tecla diretamente na dashboard;IZY-3426;30718;;História;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 20:26:58;13/11/24 20:45:58;06/01/25 14:56:12;;BACK;FRONT;;0;"*Como* usuário Izy Manager
*Quero* ativar e desativar teclas específicas de dispositivos com múltiplas teclas diretamente no dashboard
*Para* controlar individualmente cada tecla sem precisar acessar a página detalhada do dispositivo
h4. Critérios de Aceitação:
 # *Exibição e* *Controle Individual* {*}de Teclas no Dashboard{*}:

 ** O sistema deve exibir, no dashboard, uma interface para cada tecla dos dispositivos com múltiplas teclas (ex.: teclas 1, 2, 3).
 ** Cada tecla deve ser claramente identificada e acessível para controle direto.
 ** O usuário deve poder ativar ou desativar cada tecla separadamente diretamente no dashboard.
 ** A ação de ligar ou desligar uma tecla deve refletir imediatamente o estado atualizado no dashboard.
 # {*}Feedback de Ação{*}:

 ** Ao ativar ou desativar uma tecla, o sistema deve fornecer feedback visual, como uma mudança de cor ou um ícone que indique o estado atual (ativado/desativado).
 ** Em caso de erro ou falha na ativação/desativação, o sistema deve exibir uma mensagem de erro com instruções para tentar novamente.";;eliezio.soares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02xpo:";Backlog 2024;;;;;;;;
Criação de automações com o controlador infra vermelho - MCR 1001 ou Izy Connect;IZY-3425;30717;;História;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 20:22:55;13/11/24 20:22:55;06/01/25 14:56:12;;BACK;FRONT;;0;"*Como* usuário Izy Manager
*Quero* configurar automações usando o controlador infravermelho MCR 1001 ou Izy Connect
*Para* controlar remotamente dispositivos compatíveis, como TVs e aparelhos de ar-condicionado, e automatizar ações específicas.
h4. Critérios de Aceitação:
 # {*}Configuração de Comandos para Dispositivos Infravermelho{*}:

 ** O sistema deve permitir que o usuário selecione o controlador infravermelho (MCR 1001 ou Izy Connect) e associe comandos específicos para dispositivos compatíveis, como ligar, desligar, ajustar volume ou temperatura.
 # {*}Criação de Regras de Automação{*}:

 ** O usuário deve poder criar automações com base em condições (ex.: hora do dia, status de outros dispositivos) que disparem comandos do controlador infravermelho.
 ** As automações devem permitir múltiplas condições e ações, como ligar um aparelho de ar-condicionado, ou definir uma temperatura específica ao detectar presença no ambiente.
 ** A interface deve guiar o usuário na configuração das automações, oferecendo opções pré-definidas para os comandos mais comuns e instruções claras para personalizações.
 ** Incluir feedback visual indicando o sucesso na configuração dos comandos e automações.
 # {*}Notificações e Logs de Execução{*}:

 ** O usuário deve poder receber notificações de sucesso ou erro para cada automação executada, com registro no histórico do Izy Manager.
 ** Registrar logs para acompanhar o histórico de execuções das automações.";;eliezio.soares;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0|i02xpg:";Backlog 2024;;;;;;;;
Enviar e-mail na criação de conta ao usuário ao adiciona-lo à um empreendimento;IZY-3424;30716;;História;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 20:16:15;13/11/24 20:16:38;06/01/25 14:56:12;;;;;0;;;eliezio.soares;;;;;;;;;;;;;;;;;;;;;;;;Impedimento;;;;;;"0|i02xp8:";Backlog 2024;;;;;;"13/11/24 20:16:38;eliezio.soares;(flag) Marcação adicionada

É necessário entender melhor o fluxo das ações.;;;";;
Verificação de Complexidade Mínima da Senha na Criação de Usuário de Empreendimento;IZY-3423;30715;;História;Backlog;IZY;Izy Manager;software;ricardo.niederauer;;;Medium;;;eliezio.soares;eliezio.soares;13/11/24 20:11:19;13/11/24 20:14:22;06/01/25 14:56:12;;;;;0;"O sistema deve exigir uma senha com critérios mínimos de segurança ao criar uma nova conta de usuário
*Para* garantir que todas as contas sejam protegidas por senhas fortes, reduzindo riscos de segurança
h4. Critérios de Aceitação:
 # {*}Requisitos de Complexidade da Senha{*}:

 ** A senha deve atender a requisitos mínimos, e.g.:
 *** Pelo menos 8 caracteres.
 *** No mínimo uma letra maiúscula, uma letra minúscula, um número e um caractere especial (ex.: @, #, $).
 ** Exibir uma mensagem de confirmação ao usuário ao criar a conta com uma senha válida.
 # {*}Validação em Tempo Real{*}:

 ** Ao digitar a senha, o sistema deve validar em tempo real cada critério de complexidade, com feedback visual (ex.: um ""check"" ao lado de cada requisito atendido).
 # {*}Documentação e Conformidade{*}:

 ** Documentar as políticas de complexidade no Notion para referência futura e conformidade com padrões de segurança.";;eliezio.soares;;;;;;;;;;;;;;;;;;;;;;;;Impedimento;;;;;;"0|i02xp0:";Backlog 2024;;;;;;"13/11/24 20:14:22;eliezio.soares;(flag) Marcação adicionada

Há um padrão utilizado pelos sistemas Intelbras?;;;";;
